项目名称,产品编号,测试时间,流量,电流&电压,电流采样值,电压采样值,电流不合格次数,电压不合格次数,温度采样值,压力采样值,重量采样值
12122313131321,112,2022/1/4-16:41:31,流量合格,电流、电压合格,0,402,250,250,-1,0,0
12122313131321,112,2022/1/4-16:41:40,流量合格,电流、电压合格,0,804,250,250,-2,0,0
12122313131321,112,2022/1/4-16:41:55,流量合格,电流、电压合格,0,1206,250,250,-3,0,0
12122313131321,1212,2022/1/4-16:50:34,流量合格,电流、电压合格,0,735,250,250,-1,0,0
12122313131321,1212,2022/1/4-16:51:21,流量合格,电流、电压合格,0,358,100,100,0,0,0
12122313131321,1212,2022/1/4-16:51:27,流量合格,电流、电压合格,0,717,100,100,0,0,0
12122313131321,1212,2022/1/4-16:51:34,流量合格,电流、电压合格,0,1076,100,100,-1,0,0
12122313131321,1212,2022/1/4-16:51:38,流量合格,电流、电压合格,0,1435,100,100,-1,0,0
12122313131321,1212,2022/1/4-16:51:42,流量合格,电流、电压合格,0,1794,100,100,-2,0,0
12122313131321,1212,2022/1/4-16:51:47,流量合格,电流、电压合格,0,2152,100,100,-2,0,0
12122313131321,1212,2022/1/4-16:51:52,流量合格,电流、电压合格,0,2511,100,100,-3,0,0
12122313131321,1212,2022/1/4-16:52:13,流量合格,电流、电压合格,0,2870,100,100,-3,0,0
12122313131321,1212,2022/1/4-16:52:17,流量合格,电流、电压合格,0,3229,100,100,-3,0,0
12122313131321,1212,2022/1/4-16:52:22,流量合格,电流、电压合格,0,3588,100,100,-4,0,0
12122313131321,1212,2022/1/4-16:52:26,流量合格,电流、电压合格,0,3946,100,100,-4,0,0
12122313131321,1212,2022/1/4-16:52:30,流量合格,电流、电压合格,0,4305,100,100,-5,0,0
12122313131321,1212,2022/1/4-16:52:34,流量合格,电流、电压合格,0,4664,100,100,-5,0,0
12122313131321,1212,2022/1/4-16:52:38,流量合格,电流、电压合格,0,5023,100,100,-6,0,0
12122313131321,1212,2022/1/4-16:52:42,流量合格,电流、电压合格,0,5716,100,100,-6,0,0
12122313131321,1212,2022/1/4-16:52:47,流量合格,电流、电压合格,0,6408,100,100,-6,0,0
12122313131321,1212,2022/1/4-16:52:51,流量合格,电流、电压合格,0,6767,100,100,-7,0,0
12122313131321,1212,2022/1/4-16:52:55,流量合格,电流、电压合格,0,7126,100,100,-7,0,0
12122313131321,1212,2022/1/4-16:52:58,流量合格,电流、电压合格,0,7485,100,100,-8,0,0
12122313131321,1212,2022/1/4-16:53:02,流量合格,电流、电压合格,0,7844,100,100,-8,0,0
12122313131321,1212,2022/1/4-16:53:07,流量合格,电流、电压合格,0,8202,100,100,-9,0,0
12122313131321,1212,2022/1/4-16:53:12,流量合格,电流、电压合格,0,8561,100,100,-9,0,0
12122313131321,1212,2022/1/4-16:53:16,流量合格,电流、电压合格,0,8920,100,100,-9,0,0
12122313131321,1212,2022/1/4-16:53:20,流量合格,电流、电压合格,0,9279,100,100,-10,0,0
200型直喷泵测试,测试泵01,2022/1/4-17:14:14,流量合格,电流、电压合格,0,32416,23000,23000,-99,0,0
200型直喷泵测试,02,2022/1/4-17:16:19,流量合格,电流、电压合格,0,1452,1000,1000,-4,0,0
200型直喷泵测试,测试泵02,2022/1/4-17:17:35,流量合格,电流、电压合格,0,4362,2000,2000,-13,0,0
200型直喷泵测试,03,2022/1/4-17:19:09,流量合格,电流、电压合格,0,6938,2000,2000,-21,0,0
